FIRE ENGINE 69,8201 TINICUM AVE
FIRE ENGINE 7/LADDER 10,3742-62 KENSINGTON AVE
FIRE ENGINE 70,4800 LANGDON ST
FIRE ENGINE 71/LADDER 28,1900 COTTMAN AVE
FIRE ENGINE 72,1127-29 W LOUDON ST
FIRE ENGINE 73,7515-23 OGONTZ AVE
FIRE ENGINE 9 / LADDER 21,6900 GERMANTOWN AVE
FIRE MARVINE 15,811 S CHRISTOPHER COLUMBUS BLVD
FIRE MARVINE 32,3143 W PASSYUNK AVE
FIRE MARVINE UNIT 1,N DELAWARE AVE & WASHINGTON AVE
FIRE STATION - PINE,9901 E ROOSEVELT BLVD
FIREFIGHTER'S HALL,147 N 2ND ST
FIRM HOPE BAPTIST CHURCH,2313-17 E AUBURN ST
1ST AFRICAN BAPTIST CHURCH,1600-06 CHRISTIAN ST
1ST AFRICAN PRESBYTERIAN CHURCH,4159 W GIRARD AVE
1ST BANK OF THE UNITED STATES,301-43 WALNUT ST
1ST BAPTIST CHURCH OF MANAYUNK,193 GREEN LN
1ST BAPTIST CHURCH-PASCHALL,7100-20 WOODLAND AVE
1ST BORN CHURCH,5409 MARKET ST
1ST CENTURY GOSPEL CHURCH,4501 G ST
1ST CHRISTIAN ASSEMBLY,1900 S 11TH ST
1ST CHURCH WORSHIP CENTER,2913-21 W CUMBERLAND ST
1ST CHURCH OF LOVE FAITH,3101-25 RIDGE AVE
1ST CHURCH OF THE LORD JESUS,2437-49 FRANKFORD AVE
1ST CHURCH OF THE NAZARENE,1701 SHELMIRE AVE
1ST CHURCH-CHRIST SCIENTIST,1915-23 PINE ST
1ST COLORED WENSLEY METHODIST CHURCH,1642 FITZWATER ST
1ST CORINTHIAN BAPTIST CHURCH,5101 PINE ST
1ST GENESIS BAPTIST CHURCH,6001-03 KINGSESSING AVE
1ST HAITIAN CHURCH OF GOD,6215-23 LANCASTER AVE
1ST HAITIAN CHURCH OF GOD OF PROPHECY,2061-63 CHELTEN AVE
1ST IMMANUEL BAPTIST CHURCH,2434-38 RIDGE AVE
1ST MORNING STAR BAPTIST CHURCH,5132 WAKEFIELD ST
1ST PENTECOSTAL CHRISTIAN CHURCH,6969 VANDIKE ST
1ST PENTECOSTAL CHURCH,1503-07 S 20TH ST
1ST PHILADELPHIA CHARTER SCHOOL FOR LITERACY,4300 TACONY ST
1ST PHILADELPHIA SPANISH 7TH DAY ADVENTIST CHURCH,3949-63 N 7TH ST
1ST PRESBYTERIAN CHURCH,2790 PRATT ST
1ST PRESBYTERIAN CHURCH,410-22 E GIRARD AVE
1ST PRESBYTERIAN CHURCH,5415 N 3RD ST
1ST PRESBYTERIAN CHURCH,7-43 W CHELTEN AVE
1ST PRESBYTERIAN CHURCH CEMETERY,2790 PRATT ST
1ST PRESBYTERIAN CHURCH IN PHILADELPHIA,2036 WALNUT ST
1ST RESSURECTION BAPTIST CHURCH,5333 MARKET ST
1ST SPANISH BAPTIST CHURCH,170-74 W YORK ST
1ST TIMOTHY BAPTIST CHURCH,3938-40 W GIRARD AVE
1ST UKRAINIAN OF EVANGELICAL,6000 LARGE ST
1ST UKRAINIAN-EVANGEL BAPTIST,9620 KREWSTOWN RD
1ST UNITARIAN CHURCH OF PHILADELPHIA,2121 CHESTNUT ST
1ST UNITED BAPTIST CHURCH,3728-30 HAVERFORD AVE
FISH PLAZA PARK,3799 GERMANTOWN AVE
FISHER BENNETT HALL,3401-99 SPRUCE ST
FISHER FINE ARTS LIBRARY,3401-99 SPRUCE ST
FISHER PARK,6000 N 5TH ST
FISHER PARK PLAYGROUND BUILDING,6000 N 5TH ST
FISHTOWN RECREATION CENTER,1202-32 E MONTGOMERY AVE
FISHTOWN RECREATION CENTER BUILDING,1202-32 E MONTGOMERY AVE
FISHTOWN RECREATION CENTER STREET HOCKEY RINK,1202-32 E MONTGOMERY AVE
FISHTOWN ROSE GARDEN,1409 FRANKFORD AVE
FITLER ACADEMICS PLUS SCHOOL,140-64 W SEYMOUR ST
FITLER SQUARE,2301-23 PINE ST
FITLER SQUARE SHED,2301-23 PINE ST
FITZPATRICK PLAYGROUND,3500 ACADEMY RD
FITZPATRICK PLAYGROUND BUILDING,3500 ACADEMY RD
FITZSIMMONS HALL,9701 GERMANTOWN AVE
FIVE PENN CENTER,1601-23 MARKET ST
FLEUHER PARK MAINTENANCE BUILDING,4800 GRANT AVE
FLORENTINE LIONS (ONE OF TWO),52ND ST & PARKSIDE AVE
FLUEHR PARK,4800 GRANT AVE
FLUEHR PARK SHRINE,4800 GRANT AVE
FO SHOU TEMPLE,1015 CHERRY ST
FOERDERER PAVILION,800-34 WALNUT ST
FOGLIETTA PLAZA,SPRUCE ST & N DELAWARE AVE
FOLEY FOUNTAIN,HORTICULTURAL CTR
FOLK ARTS-CULTURAL TREASURES CHARTER SCHOOL,1025 CALLOWHILL ST
FONTBONNE HALL,9701 GERMANTOWN AVE
FOR THE LOVE OF JESUS CHURCH,5115-19 MASTER ST
FORD MEMORIAL TEMPLE,4029-37 GERMANTOWN AVE
FORD PAL RECREATION CENTER BUILDING,631-39 SNYDER AVE
FORD RECREATION CENTER,609-39 SNYDER AVE
FORD RECREATION CENTER,631-39 SNYDER AVE
FORD ROAD NORTH PLAYGROUND,3905 FORD RD
FORD ROAD PLAYGROUND BUILDING,3905 FORD RD
FORMAN MILLS,2550 GRANT AVE
FORMAN MILLS,3500-98 ARAMINGO AVE
FORMAN MILLS,5696 RISING SUN AVE
FORMAN MILLS,9490 BLUE GRASS RD
FORMATIVE YEARS PRESCHOOL,1923-27 LOMBARD ST
FORMER 24TH/25TH POLICE DIST,3300-22 N FRONT ST
FORMER ADA HH LEWES MIDDLE SCHOOL,1102-96 E TULPEHOCKEN ST
FORMER BASKETBALL COURT 2459 KENSINGTON,2459-77 KENSINGTON AVE
FORMER CHURCH,2225-27 MASTER ST
FORMER CHURCH,2319-27 FITZWATER ST
FORMER CHURCH,5600 CHESTER AVE
FORMER CHURCH BUILDING,3849 TERRACE ST
FORMER COMMUNICATIONS TECH H.S.,2900 S 81ST ST
FORMER CROSSAN HOUSE BUILDING (FERNHILL PARK BLDG),2561 ROBERTS AVE
FORMER ENGINE 30,3548 GERMANTOWN AVE
FORMER FAIRHILL SCHOOL,2800-62 N 6TH ST
FORMER GERMANTOWN SETTLEMENT CHARTER SCHOOL,4811 GERMANTOWN AVE
FORMER HARROWGATE TRANSFER STATION,4501 G ST
FORMER LEIDY SCHOOL,1301-59 BELMONT AVE
FORMER LIBRARY - OLD WIDENER BRANCH,2529-33 W LEHIGH AVE
FORMER LIBRARY - VERNON PARK,5710-18 GERMANTOWN AVE
FORMER LIBRARY GEORGE INSTITUTE,1461-65 N 52ND ST
FORMER MANUEL COLLAZO PLAYGROUND,130-60 W WESTMORELAND ST
FORMER OUR LADY OF LOURDES SCHOOL,1922-56 N 63RD ST
FORMER OUR LADY OF VICTORY SCHOOL,224-50 N 54TH ST
FORMER SCHOOL,1501 S 17TH ST
FORMER SCHOOL,1818 N 53RD ST
FORMER SHALLCROSS SCHOOL CLOSED,3801 WOODHAVEN RD
FORMER SPRING GARDEN CHURCH,1123-33 SPRING GARDEN ST
FORMER STANTON MIDDLE SCHOOL,1523-49 W CUMBERLAND ST
FORMER SYNAGOGUE,509 PINE ST
FORMER TRAIN SHED,1820 E CUMBERLAND ST
FORMER WALTON SCHOOL,2601-31 N 28TH ST
FORMER WEST PHILADELPHIA HIGH SCHOOL,4700 WALNUT ST
FORREST THEATRE,1106-14 WALNUT ST
FORT MIFFLIN,4701 FORT MIFFLIN RD
FORTALEZA HEALTHPLEX,111-31 W HUNTING PARK AVE
FORTESS HALL,3300 W SCHOOL HOUSE LN
FOSTER MEMORIAL BAPTIST CHURCH,2401-13 N 18TH ST
FOTTERAL SQUARE,2400 N 11TH ST
FOUNDER'S HALL,2035 S COLLEGE AVE
FOUNDERS? HALL,625-35 E WISTER ST
FOUNDRY,2035 S COLLEGE AVE
FOUNTAIN OF LIFE CHRISTIAN CHURCH,7811 FRANKFORD AVE
FOUR PENN CENTER,1600 JOHN F KENNEDY BLVD
FOUR SEASONS CHILDCARE & PRESCHOOL,433 LYCEUM AVE
FOURNIER HALL,9701 GERMANTOWN AVE
FOX CHASE CANCER CENTER,7701R BURHOLME AVE
FOX CHASE ES,700 RHAWN ST
FOX CHASE FARM,8800 PINE RD
FOX CHASE LIBRARY,501 RHAWN ST
FOX CHASE PLAYGROUND RECREATION CENTER,601 BORBECK AVE
FOX CHASE SCHOOL PLAYGROUND,700 RHAWN ST
FOX CHASE STATION PARKING LOT,7998 ROCKWELL AVE
FOX CHASE STATION POST OFFICE,7224-32 RISING SUN AVE
FOX CHASE TANK,7500 CENTRAL AVE
FOX CHASE UNITED METHODIST CHURCH,7945 FILLMORE ST
FOX-FELS HALL,3401-99 SPRUCE ST
FRANCIS E WILLARD PUBLIC SCHOOL,1920 E ORLEANS ST
FRANCIS WILLARD ELEMENTARY SCHOOL,1930 E ELKHART ST
FRANCIS A. DREXEL LIBRARY,5700-30 CITY AVE
FRANCIS D PASTORIUS ELEMENTARY MASTERY CHARTER SCHOOL,926-76 E CHELTEN AVE
FRANCIS HOPKINSON SCHOOL,1301-31 E LUZERNE ST
FRANCIS SCOTT KEY ELEMENTARY SCHOOL,2226-50 S 8TH ST
FRANCISCO DE MIRANDA,257 N 21ST ST
FRANCISVILLE PLAYGROUND,1737-39 FRANCIS ST
FRANCISVILLE PLAYGROUND BUILDING,1737-39 FRANCIS ST
FRANCISVILLE RECREATION CENTER,1737-39 FRANCIS ST
FRANICS J MEYERS RECREATION CENTER,5800 CHESTER AVE
FRANICS J. MYERS RECREATION CENTER BUILDING,5800 CHESTER AVE
FRANK GLAVIN PLAYGROUND,3267-81 ALMOND ST
FRANK GLAVIN PLAYGROUND BUILDING,3267-81 ALMOND ST
FRANKFORD & PENNYPACK PARK,4400 PENNYPACK ST
FRANKFORD & SOLLY PLAYGROUND,8300 FRANKFORD AVE
FRANKFORD ARSENAL BOAT LAUNCH,5625 TACONY ST
FRANKFORD AVENUE SHOPPING CENTER,8729-49 FRANKFORD AVE
FRANKFORD FRIENDS SCHOOL,1500 ORTHODOX ST
FRANKFORD HIGH SCHOOL,5000 OXFORD AVE
FRANKFORD HISTORICAL SOCIETY,1505-07 ORTHODOX ST
FRANKFORD MEMORIAL UNTD METHODIST,1300 DYRE ST
FRANKFORD PRESBYTERIAN CHURCH,4315 FRANKFORD AVE
FRANKFORD PRESBYTERIAN CHURCH CEMETERY,4315 FRANKFORD AVE
FRANKFORD SQUARE,4346-58 FRANKFORD AVE
FRANKFORD SQUARE,6801 FRANKFORD AVE
FRANKFORD STADIUM,5021 RUTLAND ST
FRANKFORD TRANSPORTATION CENTER,5208 FRANKFORD AVE
FRANKLIN,3300 W SCHOOL HOUSE LN
FRANKLIN ANNEX,3401-99 SPRUCE ST
FRANKLIN BENJAMIN ELEMENTARY SCHOOL,5741 RISING SUN AVE
FRANKLIN BUILDING,3401-99 SPRUCE ST
FRANKLIN D. ROOSEVELT GOLF COURSE,1954 PATTISON AVE
FRANKLIN D. ROOSEVELT PARK,3500 S BROAD ST
FRANKLIN D ROOSEVELT PARK,3500 S BROAD ST
FRANKLIN INSTITUTE,201 N 21ST ST
FRANKLIN LEARNING CENTER HIGH SCHOOL,620-34 N 15TH ST
FRANKLIN OFFICE CENTER,222-48 N BROAD ST
FRANKLIN S. EDMONDS ELEMENTARY SCHOOL,8060 WILLIAMS AVE
FRANKLIN SQUARE,200 N 6TH ST
FRANKLIN SQUARE FOUNTAIN,200 N 6TH ST
FRANKLIN SQUARE MAINTENANCE BUILDING & RESTROOM,200 N 6TH ST
FRANKLIN SQUARE STORAGE FACILITY,200 N 6TH ST
FRANKLIN TOWNE CHARTER ELEMENTARY SCHOOL,4259 RICHMOND ST
FRANKLIN TOWNE CHARTER HIGH SCHOOL,2275 BRIDGE ST
FRANKLINVILLE PLAYGROUND,3432 N 7TH ST
FRANZ SCHUBERT,BELMONT AVE & N HORTICULTURAL DR
FREDERICK DOUGLAS MASTERY ELEMENTARY SCHOOL,2118-34 W NORRIS ST
FREDERICK GRAFF MEMORIAL,FAIRMOUNT WATER WORKS DR
FREE LIBRARY BRANCH - DAVID COHEN OGONTZ,6017-35 OGONTZ AVE
FREE LIBRARY BRANCH - ROXBOROUGH,6247 RIDGE AVE
FREE LIBRARY OF PHILADELPHIA - INDEPENDENCE BRANCH,18-28 S 7TH ST
FREE LIBRARY OF PHILADELPHIA - NORTHEAST REGIONAL,2240 COTTMAN AVE
FREE QUAKER MEETINGHOUSE,501-35 MARKET ST
FREE WILL BAPTIST CHURCH,1708-10 WYLIE ST
FREEDOM CHRISTIAN BIBLE FELLOWSHIP CHURCH,6100 W COLUMBIA AVE
FREEDOM SQUARE,5101-27 GERMANTOWN AVE
FREEDOM THEATRE,1324 N BROAD ST
FREIRE CHARTER SCHOOL,2025-29 CHESTNUT ST
FRESENIUS KIDNEY CARE FAIRMOUNT,1236-40 N 26TH ST
FRESENIUS KIDNEY CARE OLNEY,2154-58 STENTON AVE
FRESENIUS KIDNEY CARE OVERBROOK,5911-45 LANCASTER AVE
FRESENIUS KIDNEY CARE PHILADELPHIA,4224 MARKET ST
FRESENIUS MEDICAL CARE DIALYSIS ONTARIO,2801 FOX ST
FRESH GROCER,3401-99 SPRUCE ST
FRESH GROCER,5627 CHESTNUT ST
FRIENDLY BAPTIST CHURCH,1225 W RUSCOMB ST
FRIENDLY FRIENDS BAPTIST CHURCH,6022-24 MEDIA ST
FRIENDLY PLAZA,3141-59 FRANKFORD AVE
FRIENDS CENTER,1508-20 RACE ST
FRIENDS HOSPITAL,4641 E ROOSEVELT BLVD
FRIENDSHIP BAPTIST CHURCH,1730 WHARTON ST
FROM THE HEART CHURCH MINISTRIES,3600-60 N 20TH ST
FULFILLING THE GREAT COMMISSION MINISTRIES,4000-02 N 5TH ST
FULL GOSPEL BAPTIST CHURCH,3131 N CAMAC ST
FULL GOSPEL HOLY CHURCH OF GOD,6129-35 MARKET ST
FULTON ELEMENTARY SCHOOL,60-86 E HAINES ST
FUNNY FACE FAMILY LEARNING CENTER,1116-28 E LYCOMING ST
FURNESS GATEWAY,KELLY DR
FUTURE GARDEN,2500 REED ST
GALILEE BAPTIST CHURCH,459 ROXBOROUGH AVE
GALILEE CHRISTIAN HOPE BAPTIST,2113 S 6TH ST
GALILEE COMMUNITY BAPTIST CHURCH,1164 S 18TH ST
GAMBLE TEMPLE,2433 W LEHIGH AVE
GAMBOL II (MARE AND FOAL),BELMONT AVE & N HORTICULTURAL DR
GAMBRELL PLAYGROUND,1900 WAKELING ST
GAMBRELL RECREATION CENTER,1900 WAKELING ST
GAMEKEEPER'S NIGHT DOG,2501 PENNSYLVANIA AVE
GARAGE 134,100 E HUNTING PARK AVE
GARAGE 159,4020-60 WHITAKER AVE
GARAGE 209 - PINE,9901 E ROOSEVELT BLVD
GARAGE 233,3257 FOX ST
GARAGE 30,3401-99 SPRUCE ST
GARAGE 308,8200 ENTERPRISE AVE
GARAGE 316 - PHL,8500 ESSINGTON AVE
GARAGE 332,3701 N DELAWARE AVE
GARAGE 357 - FLEET/STREETS SHOP,3033 S 63RD ST
GARAGE 415,3899 RICHMOND ST
GARAGE CHESTNUT 34,3401-99 SPRUCE ST
GARAGE SPRUCE 38,3401-99 SPRUCE ST
GARAGE WALNUT 32,3401-99 SPRUCE ST
GARAGE WALNUT 40,3401-99 SPRUCE ST
GARDEN,1220-30 KENILWORTH ST
GARDEN,1504 CHRISTIAN ST
GARDEN,1515-33 S 25TH ST
GARDEN,311-33 CHRISTIAN ST
GARDEN,323-25 N 55TH ST
GARDEN,3708 BROWN ST
GARDEN,3726 BROWN ST
GARDEN,4731 WARRINGTON AVE
GARDEN,4837-59 ASPEN ST
GARDEN,4905 BROWN ST
GARDEN,5010-16 BROWN ST
GARDEN COURT TENNIS COURTS,4700-10 SPRUCE ST
GARDEN RESIDENCE,9801 FRANKFORD AVE
GARDEN OF PRAYER,2800-24 DIAMOND ST
GARDEN OF PRAYER MEMORIAL CENTER,4035 W GIRARD AVE
GARDEN OF PRAYER WORLD PRAYER,2217-23 N 29TH ST
GARDENERS BUILDING,2035 S COLLEGE AVE
GARLAND AND BINGHAM PLAYGROUND,5153 E TABOR RD
GATEHOUSE,3300 W SCHOOL HOUSE LN
GATE TO HEAVEN MINISTRY,3415 HAVERFORD AVE
GATEHOUSE,625-35 E WISTER ST
GATES OF HEAVEN CHURCH,1755 N 57TH ST
GATHER THE PEOPLE HOUSE OF PRAYER,3061 N 15TH ST
GATHERS RECREATION CENTER,2501-59 DIAMOND ST
GEARY PARK,3551 S BROAD ST
GEBERAL FREDERICH VON STEUBEN,2500 SPRING GARDEN ST
GEIGER MEMORIAL BRETHREN CHURCH,2543-49 W LEHIGH AVE
GEN FOERD BOATHOUSE,5001 GRANT AVE
GENERAL ANTHONY WAYNE,2500 SPRING GARDEN ST
GENERAL CASIMIR PULASKI,2500 SPRING GARDEN ST
GENERAL GALUSHA PENNYPACKER MEMORIAL,200 N 18TH ST
GENERAL GEORGE A. MCCALLUM ELEMENTARY SCHOOL,308-32 S 6TH ST
GENERAL GEORGE B. MCCLELLAN,N CONCOURSE DR
GENERAL GEORGE G. MEADE SCHOOL,1801-09 W OXFORD ST
GENERAL GEORGE GORDON MEADE,N CONCOURSE DR
GENERAL J. HARRY LA BRUM MIDDLE SCHOOL,10800 HAWLEY RD
GENERAL JAMES A. BEAVER,N CONCOURSE DR
GENERAL JOHN F. REYNOLDS SCHOOL,2300-52 JEFFERSON ST
GENERAL JOHN FREDERICK HARTRANFT,N CONCOURSE DR
GENERAL LOUIS WAGNER MIDDLE SCHOOL,1701-47 CHELTEN AVE
GENERAL NATHANIEL GREENE,2500 SPRING GARDEN ST
GENERAL PETERS MUHLENBERG,2500 SPRING GARDEN ST
GENERAL PHILIP KEARNY ELEMENTARY SCHOOL,601-19 FAIRMOUNT AVE
GENERAL PULASKI PARK,3001 E ALLEGHENY AVE
GENERAL RICHARD MONTGOMERY,2500 SPRING GARDEN ST
GENERAL TADEUSZ KOSCIUSZKO,18TH ST & THE BENJAMIN FRANKLIN PKWY
GENERAL ULYSSES S. GRANT,KELLY DR & FOUNTAIN GREEN DRS
GEORGE (EL) WASHINGTON SCHOOL,1114-50 S 5TH ST
GEORGE HIGH SCHOOL WASHINGTON HIGH SCHOOL,10153-99 BUSTLETON AVE
GEORGE SHARSWOOD SCHOOL,200 WOLF ST
GEORGE W. CHILDS ELEMENTARY SCHOOL,1235 S 16TH ST
GEORGE W. NEBINGER SCHOOL,601 CARPENTER ST
GEORGE WASHINGTON CARVER HIGH SCHOOL OF ENGINEERING AND SCIENCE,1901-51 N 17TH ST
GEORGE AND META CONOR-WOOD MEMORIAL FOUNTAIN,MARTIN LUTHER KING JR DR
GERATER HARVEST BAPTIST CHURCH,1409-17 MASTER ST
GERMAN SOCIETY OF PENNSYLVANIA,524 N MARSHALL ST
GERMANTOWN BOYS & GIRLS CLUB,25-53 W PENN ST
GERMANTOWN CHRISTIAN ASSEMBLY,610 E MOUNT PLEASANT AVE
GERMANTOWN CHURCH OF BRETHREN,6613 GERMANTOWN AVE
GERMANTOWN CHURCH OF BRETHREN CEMETERY,6613 GERMANTOWN AVE
GERMANTOWN COMMUNITY PRESBYTERIAN CHURCH,160 W TULPEHOCKEN ST
GERMANTOWN CRICKET CLUB,401-57 MANHEIM ST
GERMANTOWN FRIENDS CEMETERY,23 W COULTER ST
GERMANTOWN FRIENDS MEETING,23 W COULTER ST
GERMANTOWN FRIENDS SCHOOL,23 W COULTER ST
GERMANTOWN FRIENDS SCHOOL FREE LIBRARY,23 W COULTER ST
GERMANTOWN HIGH SCHOOL,87-91 E HAINES ST
GERMANTOWN HISTORICAL SOCIETY,5503-05 GERMANTOWN AVE
GERMANTOWN HOME,6950 GERMANTOWN AVE
GERMANTOWN HOPE COMMUNITY CHURCH,5029 WAYNE AVE
GERMANTOWN HOSPITAL FOUNDER?S BUILDING,625-35 E WISTER ST
GERMANTOWN JEWISH CENTER,7000 LINCOLN DR
GERMANTOWN MASJID,4944 GERMANTOWN AVE
GERMANTOWN MEDICAL CENTER,625-35 E WISTER ST
GERMANTOWN MENNONITE CHURCH,21 W WASHINGTON LN
GERMANTOWN MENNONITE MEETINGHOUSE & CEMETERY,6119-31 GERMANTOWN AVE
GERMANTOWN MONTESSORI SCHOOL,6767 GERMANTOWN AVE
GERMANTOWN POST OFFICE,5133 GREENE ST
GERMANTOWN 7TH DAY ADVENTIST CHURCH,200 E CLIVEDEN ST
GERMANTOWN AND BERKS SHOPPING PLAZA,1900-18 N 5TH ST
GERMANY HILL,4849 SMICK ST
GESU SCHOOL,1701-33 W GIRARD AVE
GIANT FROG,1800 WALNUT ST
GIBBON BUILDING,800-34 WALNUT ST
GIBBONS PAL CENTER,6901 RISING SUN AVE
GIBBS HALL,3300 W SCHOOL HOUSE LN
GIBSON TEMPLE BAPTIST CHURCH,2159-63 N 28TH ST
GIFFORD PLAYGROUND,575 TOMLINSON RD
GIFFORD PLAYGROUND BUILDING,575 TOMLINSON RD
GILBERT SPRUANCE SCHOOL,1601 LEVICK ST
GILBERT STEWART PARK,5132 GERMANTOWN AVE
GILLESPIE MIDDLE SCHOOL,3901-61 N 18TH ST
GIRARD ACADEMIC MUSIC PROGRAM,2136 RITNER ST
GIRARD COLLEGE SCHOOL,2035 S COLLEGE AVE
GIRARD ESTATES PARK,2101 SHUNK ST
GIRARD FOUNTAIN,101-15 N 4TH ST
GIRARD FOUNTAIN PARK,323 ARCH ST
GIRARD MEDICAL CENTER,801 W GIRARD AVE
GIRARD PLAZA,2201-25 OREGON AVE
GIRARD STATION,100 W GIRARD AVE
GITTIS HALL,3401-99 SPRUCE ST
GIUSEPPI VERDI,BELMONT AVE & N HORTICULTURAL DR
GIVING OF SELF PARTNERSHIP CHILD DEVELOPMENT CENTER,6101 LIMEKILN PIKE
GLADFELTER HALL,1801 N BROAD ST
GLADING MEMORIAL PRESBYTERIAN,1301 E CHELTENHAM AVE
GLASSER HALL,4201-47 WOODLAND AVE
GLEN FERN SMOKEHOUSE RUINS,1100 LIVEZEY LN
GLEN FERN SPRINGHOUSE RUINS,1100 LIVEZEY LN
GLEN FOERD,5001 GRANT AVE
GLEN FOERD CARRIAGE HOUSE,5001 GRANT AVE
GLEN FOERD COTTAGE,5001 GRANT AVE
GLEN FOERD GARDEN HOUSE,5001 GRANT AVE
GLEN FOERD GATEHOUSE,5001 GRANT AVE
GLEN FOERD HOUSE,5001 GRANT AVE
GLENWOOD GREEN ACRES,1801 W GLENWOOD AVE
GLOBAL LEADERSHIP ACADEMY CHARTER SCHOOL,4601 W GIRARD AVE
GLORIA DEI OLD SWEDES EPISCOPAL CHURCH,904-38 S SWANSON ST
GLORY BAPTIST CHURCH,4130-42 ASPEN ST
GOD'S CHURCH BY THE FAITH,200 W TABOR RD
GOD'S HOUSE FOR ALL PEOPLE,1640 S 21ST ST
GOD'S RESCUE MISSION,4814 BALTIMORE AVE
GODDARD LABS,3401 CIVIC CENTER BLVD
GODS' CHURCH-THE APOSTLE'S,3528-34 N 16TH ST
GOETHE,BELMONT AVE & N HORTICULTURAL DR
GOLD STAR PARK,613 WHARTON ST
GOLDEN GATE BAPTIST CHURCH,5318 MORRIS ST
GOLDEN LIVINGCENTER - STENTON,7310-50 STENTON AVE
GOLDEN STAR BAPTIST CHURCH,1635-39 N 27TH ST
GOLDIE PALEY PAL CENTER,5330-34 GERMANTOWN AVE
GOLKIN HALL,3401-99 SPRUCE ST
GOOD NEWS CHURCH OF THE LORD JESUS CHRIST,3122 N 29TH ST
GOOD SAMARITAN BAPTIST CHURCH,6150 LANSDOWNE AVE
GOOD SHEPHERD CHRISTIAN FELLOWSHIP,4910 LANCASTER AVE
GOOD SHEPHERD COMMUNITY CHURCH,314-16 S 46TH ST
GOOD SHEPHERD LUTHERAN CHURCH,4130 COTTMAN AVE
GOOD SHEPHERD PRESBYTERIAN CHURCH,6441-49 LANSDOWNE AVE
GOOD SHEPHERD SCHOOL,6535 CHESTER AVE
GOOD SHEPHERD UNITED METHODIST,10901 CALERA RD
GOODMAN RESIDENCE HALL,4201-47 WOODLAND AVE
GOODWILL FRIENDLY COMMUNITY CHURCH,2626-28 RIDGE AVE
GOODWILL TABERNACLE BAPTIST CHURCH,5625-27 HAVERFORD AVE
GORGAS PARK,6300 RIDGE AVE
GORGAS PARK BUILDING 1,6300 RIDGE AVE
GORGAS PARK BUILDING 2,6300 RIDGE AVE
GOSPEL LIGHT CHURCH,1712-14 W ONTARIO ST
GOSPEL TEMPLE BAPTIST CHURCH,1327-33 S 19TH ST
GOSPEL OF DELIVERANCE CHURCH,554-58 W WYOMING AVE
GRACE BAPTIST CHURCH,4544-50 ALMOND ST
GRACE BAPTIST CHURCH OF GERMANTOWN,13-31 W JOHNSON ST
GRACE CHAPEL APOSTOLIC CHURCH,4040 W GIRARD AVE
GRACE CHRISTIAN FELLOWSHIP,6208-10 GRAYS AVE
GRACE CHURCH & THE INCARNATION,2645 E VENANGO ST
GRACE CHURCH OF FELTONVILLE,123-25 E WYOMING AVE
GRACE CITY CHURCH OF WISSINOMING,4300 BENNER ST
GRACE COMMUNITY BIBLE CHURCH,638 KNORR ST
GRACE COMMUNITY CHURCH OF GOD OF PROPHECY,4972 MASTER ST
GRACE EPIPHANY EPISCOPAL CHURCH,226 E GOWEN AVE
GRACE FELLOWSHIP CHURCH,5727 GERMANTOWN AVE
GRACE ORTHODOX PRESBYTERIAN,7201-03 ELMWOOD AVE
GRACE TEMPLE CHURCH,6735-37 N 16TH ST
GRACE TRINITY,4201 PRINCETON AVE
GRACE UNITED METHODIST CHURCH,7101-19 N 20TH ST
GRACE AND PEACE COMMUNITY FELLOWSHIP,511 W COURTLAND ST
GRACE-TRINITY UCC,5200-48 OXFORD AVE
GRAD SCHOOL OF EDUCATION,3401-99 SPRUCE ST
GRAFF FOUNTAIN,KELLY DR & AQUARIUM DR
GRAFF HOUSE/DECLARATION HOUSE,700-04 MARKET ST
GRANAHAN PLAYGROUND,338-50 N 65TH ST
GRANAHAN PLAYGROUND,6525-47 VINE ST
GRANAHAN PLAYGROUND BUILDING,338-50 N 65TH ST
GRAND ARMY OF THE REPUBLIC CIVIL WAR MUSEUM AND LIBRARY,4278 GRISCOM ST
GRANT @ ONE SHOPPING CENTER,9475-95 E ROOSEVELT BLVD
GRANT AVENUE SHOPPING CENTER,3330-46 GRANT AVE
GRANT PLAZA SHOPPING CENTER,9602R BUSTLETON AVE
GRANT SHOPPING CENTER,1900 GRANT AVE
GRAY MANOR APARTMENTS,1600-22 N 8TH ST
GRAY'S FERRY CRESCENT,3401R GRAYS FERRY AVE
GRAYS AVENUE PARK,5301 GRAYS AVE
GRAYS FERRY CRESCENT,3699 GRAYS FERRY AVE
GRAYS FERRY SHOPPING CENTER,2815 GRAYS FERRY AVE
GREAT COMMISSION CHURCH,2037-43 EASTBURN AVE
GREAT NORTHEAST PLAZA,2201-35 COTTMAN AVE
GREATER AGAPE DELIVERANCE INTERNATIONAL CHURCH,1420 W SUSQUEHANNA AVE
GREATER BETHEL TEMPLE,4610 TACKAWANNA ST
GREATER BETHLEHEM TEMPLE CHURCH,1608-10 S 23RD ST
GREATER BIBLEWAY CHURCH OF GOD IN CHRIST,2733-35 N 12TH ST
GREATER BIBLEWAY TEMPLE,5188 BIBLE WAY
GREATER CANAAN CHURCH OF GOD IN CHRIST,2001 SPRING GARDEN ST
GREATER CHURCH OF PHILADELPHIA,2017-23 E ALLEGHENY AVE
GREATER DEBORAH TABERNACLE CHURCH,659-61 N 12TH ST
